Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
MB.0316	0.027220854316227467	0	0.2445785431303789	0.1403815787656971	0	0	0.008469502943591459	0.13978783940845035	0.01165417240606499	0.07915970496107975	0	0.11809386485581465	0.0056323433602085676	0.2821512749699184	0.26954972686493905	0.09447103734869376	0	0	0.06582861135331086	0	0	0	0	0.5307396177158504	1.4869790546843753
MB.0658	0.06372789750535282	0	0	0.17443660237920156	0	0.005604941831201925	0.013094343415768825	0.07488816347054641	0.006498578431629594	0.1393874143487521	0	0.08681449675403578	0.042313894014214794	0.27759162985147945	0.2873980309938897	0.15896910222945942	0.016837865936701814	0	0.10722860166937402	0	0	0	0	0.4786637926115578	1.4547915628316082
MB.0420	0.023220767275995514	0	0	0.007123707800020315	0	0.0777724824258041	0	0.03643225584216063	0.030872229659727787	0.016896955481997898	0	0.006361616514746732	0.04186705465369139	0.29270836248927684	0.07216889776828216	0.47075534122845886	0	0	0	0.04442079931415903	0	0	0	0.4937108276913257	1.1206004704543213
MB.0157	0	0.05694233999123377	0.04153131850701832	0.24297448224145207	0	0	0.03554071742370126	0.0699164716203369	0	0.039165050046107604	0	0.15235061631751448	0.00827182087625747	0.21601093964269832	0.3028738814443653	0.23960177626916357	0	0.0036823529948003565	0.03983550124520489	0	0	0	0	0.47320845194756733	1.4486972686198543
MB.0292	0	0.012608123857089855	0.005586122609282074	0.02073509951735554	0	0.06597862423514443	0	0.043103221635446894	0.0009	0.011490941990004819	0.0033414417072809553	0	0	0.400379122241794	0.053599039898287765	0.35697699989673926	0.030065521372403436	0	0.013237615224441527	0.07886737357241524	0	0	0.006	0.3182181337611095	1.0968235854243829
MB.0401	0.008140800094974135	0	0.005993519936736033	0.0427475437577964	0	0.11305420959272586	0	0.07187662528928548	0	0.017888626558233003	0	0.07286553312284924	0.035593820926313524	0.2527541793389622	0.0977723742681445	0.34770795109624236	0.002163150371445978	0	0.09002861105083937	0	0	0	0.006	0.31146865893766484	1.158586945404548
MB.0372	0.0012818803485653495	0	0	0.1772950381373318	0	0.013238492557127505	0	0.11354988561141378	0.044275872870090355	0.056717835119894824	0	0.17960817398104656	0	0.017476329282028254	0.05645723916120435	0.3194571372690945	0.12218481922373461	0.03368680535896314	0.05925417276259048	0	0	0.005505074852095337	0.029	0.19896611315432935	1.1999887565351808
MB.0164	0.009815723313185226	0	0.007961358180924954	0.003648099858193814	0.011693159932414899	0.024387865776670577	0	0.03544392453905517	0.006468731168089109	0.03257147082400017	0	0.022264391112419523	0.07324358458061209	0.5445642027063758	0.024069057691499765	0.3063668823693337	0	0.01103767671342297	0	0.14979074646056156	0	0	0	0.4888531793492137	1.2633268752267595
MB.0516	0	0	0.003472898458128434	0.03109774380826356	0	0.059139156980581954	0.009385867542639778	0.066368299057983	0.002076327294666107	0	0	0.07672210402391118	0.09382342885280198	0.12465047950206919	0.1244823694944904	0.31441601687755305	0.011874314507076246	0.10198749784784204	0	0.07578764185739076	0	0.008628978724688211	0.006	0.31394230142604757	1.103913124830086
MB.0494	0	0	0.07819423228170423	0.09393117638160732	0	0.03802778904885387	0.030804064293155062	0.010241303861838611	0	0	0	0.057520491441026604	0.050617107807661245	0.4274794078367299	0.16054924826498623	0.40831909586115284	0	0	0.023028201756013555	0	0	0	0.001	0.44933440871441926	1.3787121188347295
MB.0400	0	0.008706469904895856	0	0.009230331553295208	0	0.08670860388421031	0.01179819110416309	0.049112896879172	0	0.07156994709002368	0	0.015986509715333906	0.014267731261248298	0.3018717233285296	0.14355719564634176	0.33149164198902836	0.013548123934474302	0	0	0.08123660380842264	0	0	0.003	0.367424818446409	1.139085970099139
MB.0581	0.06892730529304153	0	0.16685675051417548	0.02770569295279342	0	0.07096262628986047	0	0.09735295361028957	0.005266231632871582	0	0	0.06779388923180325	0	0.2113472890936023	0.052311608815732734	0.11156796368012485	0	0.028104800318083288	0	0.11597818141700286	0	0.011814919643533258	0.053	0.15784293507196767	1.0359902124929146
MB.0664	0	0.02041945661198454	0	0.0418057974328944	0	0.07101291969306865	0	0.11730083991848328	0	0.0036232792278421597	0	0.05685283784580687	0	0.4148580347730784	0.07748459107285943	0.20691346013644382	0	0.05295533933384316	0	0.07659173902836021	0	0	0.009	0.28276605481736733	1.139818295074665
MB.0446	0	0.0001	0.02863463470169739	0.004587666170159619	0	0.0788654580799131	0	0.05373027121399168	0	0.020917314142186384	0	0.08396116312942181	0.24747097597736747	0.27020778754014824	0.20070847907772532	0.17430343528663575	0	0	0.03950391084430969	0	0	0	0.002	0.40475144033281807	1.2029449382390531
MB.0115	0.029169060051173333	0	0.03624332147129655	0	0	0.05464057424081617	0.020541579815483064	0.12126403146822021	0	0.12490783946499293	0	0.07914253714630498	0	0.33766047987593995	0.2894448281020241	0.017606520156524266	0	0	0.09401448171083224	0	0	0	0.001	0.4215268737299043	1.2046352535036078
MB.0354	0.05779114972363625	0	0.025764268517359544	0.17672890841875638	0	0	0.11763286914898446	0.17219029587408358	0	0.2985822307833979	0	0.09612296719252954	0.011788005326067276	0.17772109127584154	0.20417944562952983	0.17559346619664937	0.00792620708063258	0	0.26888891346494986	0	0	0	0	0.5523622560684843	1.7909098186324182
MB.0481	0.005426872377473244	0	0	0.15798609331450097	0	0.030122743319870658	0	0.17388953185318431	0.010798403917697258	0.10316435858404512	0	0.11701023971591733	0.015120882781983248	0.11526996133405776	0.17816338101901227	0.2273626916051094	0.05861448935105552	0	0	0.022331905027484826	0	0	0.009	0.2814266767043304	1.215261554201392
MB.0238	0.04442086377273734	0	0.11398880751672522	0.053380711660714605	0.05770832256149656	0	0.013480391050748221	0.17832932893560502	0.007016868644211905	0.10962066828704697	0.0018876091508760557	0.030690707370124266	0.08174052751326424	0.15521444693165115	0.29614348071694885	0.1914315569388964	0.006324297966627677	0	0.13038978626015757	0	0	0	0.001	0.43468255207372786	1.471768375277832
MB.0525	0	0	0.029757755050150318	0	0	0.07598569460942595	0	0.10446909049039933	0	0	0.016694874580457434	0.018793489362904946	0	0.3474102746851467	0.03783395660389682	0.2275437650705175	0.006568958579569542	0	0.15434616517035302	0.06650048654738683	0	0	0.036	0.1799297219438259	1.0859045107502083
MB.0869	0.021112184511782695	0	0	0.057983107196938	0	0.002922571534033065	0.09632628762122564	0.14611441423670413	0	0.08309174226517174	0	0.04079677378460166	0	0.36481048089865603	0.1843053556083335	0.13685753350555227	0.02289514269110226	0	0	0.026277356269984932	0	0.012288946900149908	0.002	0.3720886967837206	1.1957818970242358
MB.4622	0.023563225128754396	0	0.07233632785978435	0	0	0.03990440283476234	0.04748946856202668	0.053128642014232334	0.026846934774343367	0.250931355892683	0	0.08426783964653044	0.026401306794237262	0.4910088795345986	0.15538986859118864	0.07388149811658097	0	0	0.04872960383762677	0	0	0	0.008	0.2887155703329639	1.393879353587349
MB.4717	0.03755078847354037	0	0	0.05561005519527969	0	0	0	0.049679646303951344	0.06834371748238602	0	0	0.09539478839664653	0	0.3983918539792566	0.041413203073415866	0.17759260958084946	0	0	0	0.10759661837785062	0	0.0030505038709373097	0.029	0.19959462282776586	1.0346237847341138
MB.4757	0.010766269361680212	0	0.035626058671206405	0.02856052662124078	0.047838589227899006	0.09495116734547838	0	0.12780413263287554	0.011068068475595385	0.034970896106108054	0	0.08525653635554356	0.026563888080517566	0.15211814301496476	0.2375088830961495	0.24286110339213796	0.00440587564207245	0	0.08805263052912564	0	0	0	0.013	0.23784001847403272	1.2283527685525952
MB.4715	0	0	0.029724351197996327	0.09530808525587765	0	0	0.021853978431172573	0.1546073919453125	0.029905278549315115	0.041356494655639425	0	0.05616477233854682	0	0.35909697567221255	0.2207917803787555	0.1669167125038485	0.015349069379114828	0	0	0.012267810536051502	0	0	0.006	0.31115025961787296	1.2033427008438433
MB.5281	0	0	0.027565604503280664	0	0	0.07596780972249609	0	0.09075061631312116	0.0441933732060003	0	0	0.032511446940765035	0	0.46341849086631304	0.05413626063754812	0.1858986760394288	0	0	0.05000344308391401	0.008687934614563993	0	0	0.041	0.1752266530731881	1.0331336559274311
MB.5323	0.06993626342401206	0.03815897387810532	0.05390582655979093	0.34584565565344394	0.019017600605171957	0.0831688912297005	0	0.18356211050144575	0.005123210248820464	0	0	0.14589779934054758	0.05181624699186598	0.27319608705048637	0.16982122559805468	0.14568299578754587	0.007017326300901394	0	0.06485897048703766	0	0	0	0	0.5660937306066601	1.6570091836569305
MB.4911	0.04334359123830995	0	0.08286839575340009	0.07234580036766258	0	0	0	0.09502405179584211	0.012366383528420078	0	0	0.1143214096918901	0.015978765867485978	0.15749404146167922	0.13265091424265021	0.1797599679877894	0	0	0	0.25623678342012524	0	0.00520773245028454	0.042	0.17029954691905305	1.1675978378055396
