Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
MB.0316	0.018306145086896	0	0.1644801534762	0.094407233459986	0	0	0.005695778240393	0.094007941112608	0.0078374825585816	0.053235252179044	0	0.079418647144886	0.0037877758549895	0.18974798204525	0.18127338513329	0.06353219102252	0	0	0.044270032685352	0	0	0	0	0.5307396177158504	0.847397259019547
MB.0658	0.043805517665577	0	0	0.11990487629697	0	0.0038527456265229	0.009000838161504	0.051476902522574	0.0044670168549649	0.09581263591978	0	0.059674869563486	0.02908588081983	0.19081196024479	0.19755272049729	0.10927276889071	0.01157407450448	0	0.073707192431515	0	0	0	0	0.4786637926115578	0.877498874361594
MB.0420	0.020721718300351	0	0	0.0063570451626994	0	0.069402507384521	0	0.032511369397686	0.027549720416601	0.015078483302035	0	0.0056769711261745	0.037361268139319	0.26120671033683	0.064401987747714	0.4200920431861	0	0	0	0.039640175499971	0	0	0	0.4937108276913257	0.86989908025976
MB.0157	0	0.039305893111458	0.02866804501301	0.16771929339863	0	0	0.024532880811986	0.048261616236044	0	0.027034668246058	0	0.10516387351421	0.0057098339697554	0.14910702485723	0.20906637156354	0.16539119763609	0	0.0025418374663662	0.027497464175628	0	0	0	0	0.47320845194756733	0.8818254201743759
MB.0292	0	0.011495124671495	0.0050930000808842	0.01890468056386	0	0.060154271946674	0	0.039298226449762	0.0008	0.010476563544682	0.0030464714213709	0	0	0.36503511372513	0.04886751216017	0.32546437243015	0.027411446810537	0	0.012069046837026	0.07190524950455	0	0	0.006	0.3182181337611095	0.9762674267046603
MB.0401	0.0070264904392925	0	0.0051731291816371	0.036896276043288	0	0.0975793918973	0	0.062038179848633	0	0.015440038081895	0	0.062891726349814	0.030721752102847	0.21815728231834	0.084389328445268	0.3001138175045	0.0018670591620473	0	0.077705528625134	0	0	0	0.006	0.31146865893766484	0.9604774582278867
MB.0372	0.0010682436327709	0	0	0.14774724944028	0	0.011032180497551	0	0.094625791277641	0.036896906432633	0.047265305454745	0	0.14967488070442	0	0.014563744190811	0.047048140121094	0.26621677539004	0.10182163670977	0.028072600826886	0.049378939960804	0	0	0.0045876053605623	0.029	0.19896611315432935	1.0151145014720364
MB.0164	0.0077697415496076	0	0.0063018988490179	0.0028876927497794	0.0092558467342952	0.019304477926422	0	0.028056020365033	0.0051203938544631	0.025782298677176	0	0.017623618676222	0.057976748549314	0.43105566214495	0.019052121951557	0.24250800673764	0	0.008736991929695	0	0.11856847930483	0	0	0	0.4888531793492137	0.8770429645166196
MB.0516	0	0	0.0031459889188862	0.028170462972845	0	0.05357229264729	0.0085023606763299	0.060120943908696	0.0018808792539591	0	0	0.069500128495818	0.084991678006585	0.11291692860455	0.11276464306342	0.28481952954944	0.010756566110131	0.09238725000533	0	0.068653628761825	0	0.0078167190248928	0.006	0.31394230142604757	0.9616913234488045
MB.0494	0	0	0.056715416665658	0.068129651649829	0	0.02758210980331	0.022342636923501	0.007428166998702	0	0	0	0.041720451031969	0.036713326238433	0.31005704671547	0.11644871041003	0.29615979310188	0	0	0.016702690461209	0	0	0	0.001	0.44933440871441926	0.8950567259628691
MB.0400	0	0.0076433826185552	0	0.0081032791164058	0	0.076121211357439	0.010357594961104	0.043116058110081	0	0.062831032045627	0	0.014034506731693	0.012525596518414	0.26501223898163	0.1260284117395	0.29101547266022	0.011893855503545	0	0	0.071317359655788	0	0	0.003	0.367424818446409	0.9401278462273408
MB.0581	0.066532776528053	0	0.16106016109232	0.026743199519352	0	0.068497390645325	0	0.093970920223298	0.0050832831906774	0	0	0.065438735245066	0	0.20400510211871	0.050494307943175	0.10769210204376	0	0.027128441928476	0	0.1119491091889	0	0.011404470332884	0.053	0.15784293507196767	1.0290195899806038
MB.0664	0	0.017914659468286	0	0.03667759818696	0	0.062301965146486	0	0.10291187676611	0	0.0031788217854538	0	0.049878860596884	0	0.36396856987271	0.06797977485331	0.18153196963985	0	0.046459457233378	0	0.067196446450566	0	0	0.009	0.28276605481736733	0.9860323092155188
