Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
MB.0316	0.02715926319161151	0	0.24606818309111175	0.1394702919410014	0	0	0.008533565615656333	0.13510675068010436	0.014565567226638649	0.07859408643794608	0	0.11863255144010486	0.005268524571710489	0.28484931604049396	0.2631356703920644	0.09554942070444357	0	0	0.06423302662057793	0	0	0	0	0.5114024934001327	1.4811662179534653
MB.0658	0.06318188448526411	0	0	0.1628143042086398	0	0.019243082231880006	0.011415096537545463	0.0713209924852132	0.009441100199780422	0.13543329878320196	0	0.08283657629458877	0.04183441702026916	0.27241848529476964	0.2845043934662336	0.16038636113229296	0.016328371927588348	0	0.10582578718706039	0	0	0	0	0.4822429355294965	1.4369841512543278
MB.0420	0.0225729403924131	0	0	0.010471972777611097	0	0.07865294016163266	0	0.03343419372098699	0.03060666927858348	0.017915278774110463	0	0.011081270626268068	0.04119802819149332	0.29495319700230377	0.07070752955940811	0.46493709991407334	0	0	0	0.04178668773975017	0	0	0	0.4891973340647521	1.1183178081386345
MB.0157	0	0.05273357661893119	0.042221076252732914	0.2394170166199356	0	0	0.0370899216679	0.07096174536577823	0	0.039378987350814736	0	0.15121838608206095	0.008220714537328914	0.21288237345013158	0.3013185064567796	0.2411452663671113	0	0.0036691803912452204	0.03992514366308613	0	0	0	0	0.45206218891824856	1.4401818948238363
MB.0292	0.012931928284330678	0.01262785765540384	0	0.044916153310879024	0	0.007904950028959882	0	0.013177579768179485	0.06827207256658725	0.024081243436481634	0	0	0	0.4188247473672228	0.04363544630463304	0.3059329153669271	0.03078389081763671	0	0.0027056742833467618	0.11524678652024258	0	0	0.01	0.29739010771764157	1.1010412457108307
MB.0401	0.008854154107263725	0	0.006070941519561868	0.04332451948285682	0	0.11394970614935436	0	0.07218972912046824	0.0011288666147811946	0.01875870123383734	0	0.07420142881058424	0.03565122519167772	0.25282119227725086	0.0968382218640448	0.3444535256999785	0.0024930523806129313	0	0.0887563923575144	0.0008	0	0	0	0.30223754170800254	1.1603195682011327
MB.0372	0.0005999999999999999	0	0	0.17598921112160523	0	0.017301135499950084	0	0.11390023952365386	0.04642128736994277	0.05360821853408226	0	0.1820090580156231	0	0.019474509917925053	0.05637383496959296	0.32036142579945126	0.12202760609952883	0.03372449061669663	0.05850011037198408	0	0	0.005241175485683981	0.04	0.21334908286958887	1.2055461721370564
MB.0164	0.009925721532440137	0	0.008112265531235664	0.0018503902382034211	0.01044897024424679	0.024025821685254106	0	0.03698676216388663	0.006560587470878933	0.031127243107173085	0	0.019960851321075276	0.07145290188387306	0.5437539637103824	0.024296128301529413	0.31655903228555365	0	0.010920295601470623	0	0.15361487251384498	0	0	0	0.48686670586242176	1.2695958075910483
MB.0516	0	0	0.003353957814668753	0.03138903540557246	0	0.06411833006017506	0.009744027567254005	0.06588388567462891	0.0038444128865243086	0	0	0.0795652933435122	0.09526245022760588	0.12715682080262783	0.1284287711040158	0.31357248959700773	0.012742818483016309	0.1002333249190027	0	0.07270310726687768	0	0.008831356191807214	0	0.3168897325973331	1.1168300813442968
MB.0494	0	0	0.07656456906362628	0.08964002064127483	0	0.03869918664907026	0.024935550305493548	0.010417077832782973	0	0	0	0.05781846234496735	0.047762064178870585	0.4486048170431247	0.15901769195939774	0.39337563934718656	0	0	0.004771709432458318	0.0201859408740881	0	0	0	0.4261058200944945	1.3717927296723413
MB.0400	0.006363539423361858	0	0.014332016228568034	0.04174646239694042	0	0.00923162571371195	0	0.05620365809344758	0	0.06898085474792665	0	0.07514835140403507	0	0.30039083463568883	0.13465435496818487	0.36890630990713713	0.0037239117967573614	0	0	0.06194909040055025	0	0	0	0.358741828392984	1.14163100971631
MB.0581	0.0714571468764013	0	0.16973362947612872	0	0	0.06922656078457079	0	0.1004786989611023	0.026768839975266343	0.007370486964201688	0	0.05932998053035272	0	0.21620635101500668	0.05227493967619689	0.10130151159268293	0	0.029656463144969485	0	0.12562758928510112	0	0.011011066348662888	0.05	0.1597784433957102	1.0404432646306438
MB.0664	0	0.01799705891946739	0	0.04235152072464452	0	0.07220148178301451	0	0.11480625052047784	0	0.005562520754244751	0	0.057347425023827454	0	0.4168210154105891	0.07867814778418113	0.20871304725470538	0	0.050222373683182914	0	0.07790646371525826	0	0	0.01	0.266907996526929	1.1426073055735932
MB.0446	0	0.0001	0.02860881962128771	0.007959403385982973	0	0.07681879525931543	0	0.054263124354505934	0	0.02117353137009173	0	0.08138058690206378	0.24959151521142867	0.2746667451057156	0.20201250861413098	0.17305784920208478	0	0	0.03602227198622153	0	0	0	0	0.4011782492590551	1.2056353678960765
