Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
MB.0316	0.018336404694091	0	0.16613137682218	0.094162485108328	0	0	0.005761382829435	0.091216467836258	0.0098338505497134	0.053062300155981	0	0.080094016459557	0.0035570110281006	0.19231421334607	0.17765438287922	0.064509586801449	0	0	0.04336652148962	0	0	0	0	0.5114024934001327	0.8586362281222222
MB.0658	0.043968393409289	0	0	0.11330278351819	0	0.013391297471919	0.0079437873602025	0.049632414124371	0.006570079559708	0.094248289840207	0	0.057646130767887	0.029112650256965	0.18957654129795	0.19798714774821	0.11161317332017	0.011362945035501	0	0.073644366289417	0	0	0	0	0.4822429355294965	0.8754153347611979
MB.0420	0.020184727658039	0	0	0.0093640400800207	0	0.070331474281488	0	0.029896862481906	0.027368489579475	0.016019845739494	0	0.0099088743339535	0.036839284764735	0.26374720571895	0.063226686586612	0.41574684452886	0	0	0	0.037365664246464	0	0	0	0.4891973340647521	0.8725482542518839
MB.0157	0	0.036615914148387	0.029316488704989	0.16624081824693	0	0	0.025753636954613	0.049272765906044	0	0.027343065131111	0	0.10499950501083	0.0057081085152334	0.14781631001976	0.20922253469492	0.16744084010069	0	0.0025477201209324	0.027722292445545	0	0	0	0	0.45206218891824856	0.8942954927176139
MB.0292	0.011745180604912	0.011469014175987	0	0.040794251337861	0	0.0071795221657264	0	0.011968288944228	0.062006825659388	0.02187133636482	0	0	0	0.38038969838667	0.039631073290503	0.27785781555297	0.027958889766898	0	0.0024573777720743	0.10467072597797	0	0	0.01	0.29739010771764157	0.9873588759770663
MB.0401	0.0076307892669521	0	0.005232128877197	0.037338437332418	0	0.098205450698391	0	0.062215385397995	0.001	0.01616684036702	0	0.06394913163933	0.030725350298925	0.21788927740761	0.083458233850331	0.29686091240708	0.0021485911717217	0	0.076493058283172	0.0007	0	0	0	0.30223754170800254	0.9646905736841747
MB.0372	0.0005	0	0	0.14598297036573	0	0.014351284007049	0	0.094480196740822	0.038506436703003	0.044467992826066	0	0.15097643061898	0	0.016154097095595	0.046762070398067	0.26573965660025	0.10122184360904	0.027974449586542	0.048525814874665	0	0	0.0043475526751439	0.04	0.21334908286958887	1.0085363349545642
MB.0164	0.0078180169413708	0	0.0063896442338038	0.001457464042603	0.0082301549688265	0.018923992613713	0	0.029132706600588	0.0051674615114925	0.024517443205987	0	0.015722209542381	0.056280039250798	0.42828903534434	0.019136900229396	0.24933843542395	0	0.0086013954489902	0	0.12099510064177	0	0	0	0.48686670586242176	0.8785189495391941
MB.0516	0	0	0.0030031048327707	0.028105470948446	0	0.057410998442124	0.0087247180480001	0.058991861676332	0.0034422540641965	0	0	0.071242075829245	0.085297174403595	0.11385511809422	0.11499401139825	0.28077009639602	0.011409809509857	0.089748052629774	0	0.06509773373884	0	0.007907519988338	0	0.3168897325973331	0.9601466281511561
MB.0494	0	0	0.055813511332659	0.065345163815444	0	0.028210666095536	0.01817734542991	0.007593769530526	0	0	0	0.042148103787354	0.034817260031899	0.32702084457779	0.11591962001241	0.28676025965027	0	0	0.003478447821777	0.014715007914432	0	0	0	0.4261058200944945	0.9092511199619627
