,IM,BL1,MSL,M,BL2,LAR
MB.0316,0,0,1,1,0.214,0.999
MB.0658,0,0.997,0.04,1,0,0.999
MB.0420,1,0.961,0,0,0.151,1
MB.0157,0,1,0.001,1,0.001,1
MB.0292,1,1,0.039,0,0,0
MB.0401,1,1,0,0,0.046,0.992
MB.0372,0.044,0.362,0.703,0.266,0.943,0.276
MB.0164,0.842,0.392,1,0.698,0.007,1
MB.0516,1,0.002,1,0,0.016,1
MB.0494,0,1,0.712,1,0,0.164
MB.0400,1,0.002,0,0,0.928,0.998
MB.0581,1,1,0.131,0,0,0
MB.0664,0.954,0,1,0.233,0.983,1
MB.0446,0.061,0.997,0.972,0.924,0,0.993
MB.0115,0.96,0.036,0.092,0.001,1,0.998
MB.0354,0,1,0.024,1,0.007,0.467
MB.0481,1,0.906,0.054,0,0.284,0.7
MB.0238,0,0.658,0.756,1,0.939,0.44
MB.0525,1,1,0.011,0,0,0
MB.0869,1,0,1,0,0,1
MB.4622,0.613,0,0.995,0.003,0.999,1
MB.4717,1,0.002,1,0,0.964,0.225
MB.4757,0.006,0.003,0.433,0.999,1,0.616
MB.4715,0.829,0.099,1,0.026,0.478,0.743
MB.5281,1,1,0,0,0.143,0
MB.5323,0,1,0.006,1,0.967,0.997
MB.4911,1,0,1,0,1,1
MB.4888,1,0.985,0,0,0.127,1
MB.4945,1,0,0,0,1,0.965
MB.5072,1,1,0,0,0.122,0
MB.5115,1,0,0.94,0,1,0.873
MB.4733,0,1,0,1,0.103,0
MB.4758,1,0.007,0.944,0,0.959,0.981
MB.4732,0.009,1,0.1,1,0.467,0.616
MB.5236,0,0,1,1,1,0.853
MB.4993,1,1,0,0,0.085,0
MB.5232,0.976,0.576,0,0.04,0.003,0.78
MB.5126,0,0,1,1,0.881,0.598
MB.4938,1,0.154,0,0,0.091,1
MB.5070,0,0.959,1,1,0.062,0.557
MB.5138,0,0.171,1,1,0.017,0.046
MB.5258,1,0,1,0,0.914,0.996
MB.5421,1,0.248,0.011,0,0.973,0.81
MB.5348,0,0,1,1,0.864,1
MB.5100,0,0.337,0.862,1,0.446,1
MB.5446,1,1,0,0,0.115,0
MB.5427,1,0,0.94,0,0.978,0.925
MB.5209,0,0.959,0.87,1,0.019,0
MB.5223,0,1,0,0.991,0.246,1
MB.5616,0,0.357,0.997,1,0.822,0.994
MB.5602,0,0.987,0.658,1,0.666,0
MB.5634,0,0,1,1,1,0.948
MB.5548,0,0.999,0.193,1,0.146,0.931
MB.5526,0.229,0.455,0.355,0.089,0.549,0.86
MB.5531,0.106,1,0.004,0.892,0,1
MB.5551,1,0.991,0,0,0.218,0.061
MB.5560,0.999,0.834,0,0.166,0.302,0.018
MB.5529,0.676,0,0.008,0.669,1,1
