,subtype,correlation,p.value
MB.0316,IM,0.591430423273987,0
MB.0658,BL2,0.379650991061018,0
MB.0420,M,0.537693536110623,0
MB.0157,UNS,NA,NA
MB.0292,LAR,0.552526213450546,0
MB.0401,UNS,NA,NA
MB.0372,IM,0.13034380709035,0.044
MB.0164,BL2,0.279912164788185,0.007
MB.0516,M,0.418207414288914,0
MB.0494,BL2,0.534788184998057,0
MB.0400,M,0.321929240406938,0
MB.0581,UNS,NA,NA
MB.0664,BL1,0.575188715841441,0
MB.0446,BL2,0.271993004275165,0
MB.0115,UNS,NA,NA
MB.0354,IM,0.683384393160762,0
MB.0481,M,0.301541323864915,0
MB.0238,IM,0.570222438969451,0
MB.0525,UNS,NA,NA
MB.0869,BL1,0.484291051212632,0
MB.4622,UNS,NA,NA
MB.4717,M,0.292902594444921,0
MB.4757,BL1,0.180136265754665,0.003
MB.4715,M,0.158133264384645,0.026
MB.5281,LAR,0.74385938978539,0
MB.5323,IM,0.660835230706862,0
MB.4911,BL1,0.641903703697705,0
MB.4888,MSL,0.371219072869186,0
MB.4945,M,0.417473531671049,0
MB.5072,LAR,0.814239865301979,0
MB.5115,BL1,0.571009715798518,0
MB.4733,IM,0.49422051230042,0
MB.4758,M,0.688678084288769,0
MB.4732,IM,0.199151642356867,0.009
MB.5236,BL1,0.638330635175288,0
MB.4993,LAR,0.714717662267885,0
MB.5232,MSL,0.279484250370446,0
MB.5126,BL1,0.44467226490594,0
MB.4938,M,0.652452062873587,0
MB.5070,IM,0.245855734368982,0
MB.5138,IM,0.546884430201576,0
MB.5258,UNS,NA,NA
MB.5421,M,0.438462093504643,0
MB.5348,IM,0.519306300738055,0
MB.5100,IM,0.536481948275716,0
MB.5446,LAR,0.763892472146497,0
MB.5427,M,0.60846204840739,0
MB.5209,IM,0.358409289781355,0
MB.5223,MSL,0.596323255203958,0
MB.5616,IM,0.614101232680003,0
MB.5602,IM,0.38234487211625,0
MB.5634,IM,0.47136846260395,0
MB.5548,IM,0.28001182025665,0
MB.5526,UNS,NA,NA
MB.5531,UNS,NA,NA
MB.5551,M,0.528437124659328,0
MB.5560,MSL,0.120745472770534,0
MB.5529,BL1,0.290324775083759,0
MB.4408,UNS,NA,NA
MB.4146,IM,0.414094043208451,0
MB.2957,UNS,NA,NA
MB.3063,M,0.337032510609129,0
MB.3046,M,0.544964315546476,0
MB.3014,BL1,0.428318754641466,0
MB.3277,IM,0.341478849695486,0
MB.3271,IM,0.438969396087123,0
MB.3292,UNS,NA,NA
MB.2917,UNS,NA,NA
MB.3706,BL1,0.337018269458929,0
MB.3453,BL2,0.524868247182278,0
MB.2842,IM,0.131143396607061,0.027
MB.2912,BL1,0.285771299318995,0
MB.2849,LAR,0.55758845308101,0
MB.3058,UNS,NA,NA
MB.3057,BL1,0.367453654175234,0
MB.3395,MSL,0.551242434840073,0
MB.2857,IM,0.561583755840079,0
MB.2827,UNS,NA,NA
MB.3702,MSL,0.499534918346076,0
MB.3502,BL2,0.197886513797124,0.004
MB.0079,LAR,0.481378874396209,0
MB.0062,BL1,0.305785342158564,0
MB.4015,UNS,NA,NA
MB.2929,LAR,0.701208655888038,0
MB.2724,IM,0.670609221604389,0
MB.3062,MSL,0.560273354530114,0
MB.4707,UNS,NA,NA
MB.3383,UNS,NA,NA
MB.7114,BL1,0.528402088447213,0
MB.7208,LAR,0.548693556795984,0
MB.3001,BL1,0.332960909237419,0
MB.7023,BL2,0.420860474154683,0
MB.3500,UNS,NA,NA
MB.3396,BL2,0.472035755926934,0
MB.7145,BL1,0.439616356749674,0
MB.7155,UNS,NA,NA
MB.3218,BL1,0.5341087939436,0
MB.7270,LAR,0.375260520096804,0
MB.7008,LAR,0.724001531959191,0
MB.7009,M,0.380928121494002,0
MB.3153,LAR,0.363007954935502,0
MB.3211,IM,0.182510913371788,0
MB.7081,IM,0.728970098632442,0
MB.7055,M,0.433719616352665,0
MB.7121,IM,0.59510435258262,0
MB.7158,UNS,NA,NA
MB.7258,UNS,NA,NA
MB.2904,IM,0.401494207281486,0
MB.7154,IM,0.400492629151476,0
MB.7165,BL1,0.350560296341168,0.001
MB.2850,IM,0.587681756264886,0
MB.7052,IM,0.528227970215359,0
MB.7090,BL2,0.45604041974349,0
MB.7025,MSL,0.648182444816159,0
MB.7036,BL1,0.371391156250481,0
MB.4769,BL1,0.305195283743915,0
MB.4793,IM,0.241932715840647,0
MB.4679,IM,0.564664922786989,0
MB.4660,UNS,NA,NA
MB.6248,BL1,0.217360156722625,0
MB.6280,BL1,0.31634322513976,0
MB.6098,UNS,NA,NA
MB.4974,BL1,0.396849512428399,0
MB.4696,UNS,NA,NA
MB.4881,M,0.468032862868777,0
MB.4865,UNS,NA,NA
MB.4416,IM,0.30802227478707,0
MB.4407,M,0.390780919051936,0
MB.4621,UNS,NA,NA
MB.4893,IM,0.625671607355349,0
MB.4792,M,0.557992911714111,0
MB.5295,M,0.603852758473648,0
MB.6058,IM,0.473439358447643,0
MB.5335,M,0.540885118758603,0
MB.5135,M,0.550421333605921,0
MB.5057,UNS,NA,NA
MB.5102,UNS,NA,NA
MB.6272,UNS,NA,NA
MB.6245,M,0.441996315053413,0
MB.6336,UNS,NA,NA
MB.5208,M,0.312166787677627,0
MB.5440,IM,0.688823706776719,0
MB.5346,UNS,NA,NA
MB.6178,UNS,NA,NA
MB.4417,BL2,0.238247959580257,0
MB.4332,BL1,0.370510684786843,0
MB.7205,IM,0.141731383300798,0.008
MB.7159,M,0.437018029380359,0
MB.6143,M,0.729192653958261,0
MB.5225,BL2,0.280272055965799,0
MB.4024,M,0.466221807327502,0
MB.6242,BL2,0.32401321414691,0
MB.5173,M,0.516944891658862,0
MB.4931,IM,0.654411615561734,0
MB.7045,LAR,0.799314900140957,0
MB.7049,M,0.444876977201335,0
MB.7078,BL2,0.387589584143024,0
MB.7038,M,0.614114387677026,0
MB.0399,LAR,0.757909844737793,0
MB.0191,BL2,0.18821686746988,0.001
MB.0639,M,0.432816268282551,0
MB.6251,M,0.433579313790189,0
MB.5450,IM,0.232506225180263,0.002
MB.0100,M,0.302596950323372,0
MB.5572,IM,0.773917663328802,0
MB.5655,UNS,NA,NA
MB.5633,IM,0.527108052836875,0
MB.0627,MSL,0.560479686155068,0
MB.5624,UNS,NA,NA
MB.5566,M,0.197079301513714,0.028
MB.0414,IM,0.538898567490959,0
MB.0396,UNS,NA,NA
MB.0874,BL1,0.360877167266092,0
MB.0269,MSL,0.580648820450293,0
MB.0901,BL1,0.530475472407116,0
MB.0464,LAR,0.413176694637576,0
MB.0163,M,0.619947867576429,0
MB.0149,M,0.556972511220447,0
MB.0350,M,0.558030592973748,0
MB.0303,IM,0.376245275246048,0
MB.0436,UNS,NA,NA
MB.0588,LAR,0.798005733229441,0
MB.7119,IM,0.22997356297362,0
MB.7012,BL1,0.37550876948606,0
MB.0174,MSL,0.471414557553434,0
MB.5547,M,0.407195567240755,0
MB.5465,M,0.688288043165086,0
