,IM,BL1,MSL,M,BL2,LAR
MB.0316,0,0,1,1,0.196,0.996
MB.0658,0,0.987,0.149,1,0,1
MB.0420,1,0.927,0,0,0.15,1
MB.0157,0,1,0.113,1,0.033,1
MB.0292,1,1,0.333,0,0,0
MB.0401,1,1,0,0,0.036,0.983
MB.0372,0.022,0.355,0.03,0.881,0.969,0.198
MB.0164,0.975,0.469,1,0.021,0.031,1
MB.0516,1,0.007,1,0,0.036,1
MB.0494,0.004,1,0.965,0.992,0,0.159
MB.0400,1,0.016,0.033,0,0.954,0.999
MB.0581,1,1,0.618,0,0,0
MB.0664,0.998,0,1,0,0.958,1
MB.0446,0.169,0.997,1,0.744,0.001,0.997
MB.0115,0.939,0.023,0.006,0.007,1,0.997
MB.0354,0,1,0.081,1,0.012,0.181
MB.0481,1,0.818,0,0.003,0.377,0.517
MB.0238,0,0.61,0.983,1,0.912,0.423
MB.0525,1,1,0.02,0,0,0
MB.0869,1,0,1,0,0.002,1
MB.4622,0.565,0,0.989,0.008,1,0.996
MB.4717,1,0.001,1,0,0.954,0.252
MB.4757,0.007,0.002,0.342,0.998,1,0.646
MB.4715,0.316,0.04,0.948,0.819,0.809,0.626
MB.5281,1,1,0,0,0.152,0
MB.5323,0,0.995,0.005,1,0.968,0.997
MB.4911,1,0,1,0,1,0.999
MB.4888,0.999,0.971,0.007,0,0.164,1
MB.4945,1,0,0,0,1,0.944
MB.5072,1,1,0.032,0,0.18,0
MB.5115,1,0,0.079,0,1,0.784
MB.4733,0,0.999,0,1,0.174,0
MB.4758,1,0.008,0.964,0,0.964,0.963
MB.4732,0,0.994,0.002,1,0.624,0.616
MB.5236,0,0,1,1,1,0.883
MB.4993,1,1,0.004,0,0.103,0
MB.5232,0.791,0.718,0,0.647,0.083,0.119
MB.5126,0,0,0.669,1,0.873,0.521
MB.4938,1,0.132,0.009,0,0.152,1
MB.5070,0,0.942,1,0.791,0.084,0.897
MB.5138,0,0.187,1,1,0.007,0.066
MB.5258,1,0,1,0,0.876,1
MB.5421,1,0.391,0,0,0.946,0.561
MB.5348,0,0,1,1,0.805,1
MB.5100,0,0.171,0.115,1,0.416,1
MB.5446,1,1,0.002,0,0.124,0
MB.5427,1,0,0.673,0,0.939,0.898
MB.5209,0,0.976,0.223,1,0.011,0
MB.5223,0.003,1,0,0.771,0.235,1
MB.5616,0,0.364,1,1,0.792,0.994
MB.5602,0,0.977,0.195,1,0.674,0
MB.5634,0,0,1,1,1,0.93
MB.5548,0,0.979,0,1,0.351,0.667
MB.5526,0.14,0.308,0.204,0.224,0.637,0.77
MB.5531,0.79,1,0.635,0.013,0,1
MB.5551,1,0.973,0.21,0,0.112,0.343
MB.5560,0.973,0.529,0,0.921,0.476,0.075
MB.5529,0.777,0,0.009,0.491,0.998,1
MB.4408,0,0,0.936,1,0.992,0.047
MB.4146,0,0,0.449,1,0.982,0.007
MB.2957,0.004,0,0.026,1,0.91,1
MB.3063,1,0.051,0.075,0,0.222,1
MB.3046,1,0.981,0,0,0.851,0.939
MB.3014,0,0,1,1,0.999,0.903
MB.3277,0,0.033,0.962,1,0.174,0.998
MB.3271,0,0.512,0.979,1,0.002,0.986
MB.3292,0,0,0.024,0.981,0.965,1
MB.2917,0.535,0.791,0.896,0.947,0.114,0.302
MB.3706,0.989,0,1,0,0.999,1
MB.3453,1,1,0.001,0.056,0,0
MB.2842,0.03,0.066,1,0.999,0.234,0.777
MB.2912,0.233,0.002,0.997,0.018,1,1
MB.2849,0,1,0.004,1,0,0
MB.3058,1,1,0.002,0,0.003,1
MB.3057,0.001,0,1,0.88,0.81,1
MB.3395,0,0.999,0,0.997,0.514,1
MB.2857,0,1,0,1,0.008,0.994
MB.2827,0,0,1,1,0.916,1
MB.3702,0.341,1,0,0.967,0.993,0.149
MB.3502,0.023,0.593,0,1,0.044,0.979
MB.0079,0.973,1,0,0.817,0.799,0
MB.0062,0.183,0,1,0.992,0.999,0.126
MB.4015,1,1,0.99,0,0,0
MB.2929,1,1,0.012,0.004,0.032,0
MB.2724,0,0.961,0.012,1,0.838,0
MB.3062,0,1,0,1,0.001,0.952
MB.4707,1,0,0.099,0,0.997,0.011
MB.3383,1,1,0,0,0,0.028
MB.7114,0,0,1,1,0.999,0.961
MB.7208,0,0.999,1,1,0.785,0
MB.3001,0.023,0,0.025,1,0.814,0.627
MB.7023,0.091,1,0.053,0.949,0,0.445
MB.3500,0.001,0.001,1,1,0.995,0.193
MB.3396,0.996,1,0.183,0.042,0,0
MB.7145,0.852,0,0.51,0.16,1,0.15
MB.7155,0,0.001,0.975,1,1,0.776
MB.3218,0,0,0.213,1,1,1
MB.7270,0,1,0,1,0.764,0
MB.7008,1,1,0,0,0.018,0
MB.7009,1,0.076,0,0,0.97,1
MB.3153,0.002,1,0.868,1,0.003,0
MB.3211,0,0.628,0.693,1,0.776,0.86
MB.7081,0,0.149,1,1,0.67,0.984
MB.7055,1,0.835,0,0,0.927,0
MB.7121,0,1,0.006,1,0.043,0.022
MB.7158,0,1,0,1,0.002,0.934
MB.7258,1,0.803,0.461,0.05,0.01,0
MB.2904,0,0.001,1,1,1,0.968
MB.7154,0,0.057,1,1,0.477,0.955
MB.7165,0.012,0.002,0.999,0.999,0.911,0.056
MB.2850,0,1,0,1,0.209,0.929
MB.7052,0,0,0.27,1,1,0.426
MB.7090,1,1,0.07,0,0,0
MB.7025,0,1,0,1,0.002,1
MB.7036,0,0,1,0.998,0.838,0.994
MB.4769,0.923,0,0.934,0.944,0.994,0.191
MB.4793,0,0.874,0.114,1,0.459,0.006
MB.4679,0,0.043,1,1,0.287,0.029
MB.4660,0.99,0,0.646,0.046,1,0.047
MB.6248,0.918,0.001,1,0.048,0.929,1
MB.6280,0.027,0.001,1,0.952,0.317,0.999
MB.6098,1,0,0.993,0,0.996,0.94
MB.4974,0,0,0.922,1,0.982,0.874
MB.4696,0.289,1,0,1,0.04,0
MB.4881,1,0.197,1,0,0,1
MB.4865,0.982,0.045,0.059,0,0.982,1
MB.4416,0,0.998,0.367,1,0.011,0.957
MB.4407,1,0,1,0,0.794,0.998
MB.4621,1,0.892,0,0.104,0.01,0
MB.4893,0,0.57,0.038,1,0.86,1
MB.4792,1,0.819,0,0,0.066,1
MB.5295,1,0.992,0.696,0,0.03,0.908
MB.6058,0,0,1,1,0.099,1
MB.5335,1,0.043,0.994,0,0.887,0.017
MB.5135,1,0,0.891,0,1,0.212
MB.5057,1,0,0.071,0,0.993,1
MB.5102,0.999,0.256,1,0,0.609,0
MB.6272,0.048,0.043,0.385,0.723,0.92,1
MB.6245,0.999,0.005,0,0.003,1,0.041
MB.6336,0,0.129,0.033,0.938,0.91,0.813
MB.5208,0.996,0.023,0.53,0,1,0.004
MB.5440,0,0.041,1,1,0.905,1
MB.5346,0.496,0.043,0.404,0.989,0.391,0.049
MB.6178,1,0.059,1,0,0.049,1
MB.4417,0.01,0.84,1,0.992,0,0.009
MB.4332,0.001,0,1,0.853,0.994,0.146
MB.7205,0.001,0.416,0,1,0.06,1
MB.7159,1,0.023,0.389,0,1,0.001
MB.6143,1,0.992,0,0,0.54,1
MB.5225,0,0.863,0,0.99,0,0.944
MB.4024,1,0,0.722,0,1,0.554
MB.6242,0,0.656,0.997,1,0,0
MB.5173,1,0,0.279,0,0.839,1
MB.4931,0,0.515,0.933,1,0.923,0.048
MB.7045,0.002,1,0.896,0.994,0.619,0
MB.7049,1,0.024,0.009,0.002,1,0
MB.7078,0.982,1,0,0.204,0,0
MB.7038,1,0.693,0,0,0.998,0.944
MB.0399,1,1,0.089,0,0.053,0
MB.0191,0.148,0.205,0.42,0.984,0.027,0.736
MB.0639,1,0.939,0.116,0,0.01,0.67
MB.6251,1,0.966,0,0,0.041,0.08
MB.5450,0.006,0.999,0,0.993,0.006,0.773
MB.0100,1,0.034,0,0,1,0.993
MB.5572,0,0.995,1,1,0.578,0.918
MB.5655,1,0,1,0,0.999,0.353
MB.5633,0,1,0.243,1,0.015,0.44
MB.0627,0.008,1,0,0.986,0.009,0.002
MB.5624,0,0.004,0.459,1,0.969,0.464
MB.5566,0.569,0.458,0,0.434,0.052,0.975
MB.0414,0,0,0.683,1,0.998,1
MB.0396,0.002,0,1,0.977,0.982,0.891
MB.0874,0.008,0,0.999,0.999,0.598,0.704
MB.0269,1,1,0,0.001,0,0.2
MB.0901,0,0,0.702,1,0.991,0.177
MB.0464,0.005,1,0,1,0.812,0
MB.0163,1,0,0.932,0,1,0.993
MB.0149,1,0,0.975,0,1,0.144
MB.0350,1,0.701,0,0,0.539,0.13
MB.0303,0,0.578,0.972,0.997,0.139,0.992
MB.0436,1,1,0.023,0,0,0
MB.0588,0.999,1,0.104,0.084,0.452,0
MB.7119,0,0.951,0.945,1,0.918,0.065
MB.7012,0.931,0,0.491,0.841,0.171,0.939
MB.0174,0.988,1,0.001,0.308,0,0.985
MB.5547,1,0,0.007,0.001,0.987,0.027
MB.5465,1,0.529,0,0,0.9,0.997
