,subtype,correlation,p.value
MB.0316,IM,0.491063842234018,0
MB.0658,BL2,0.369491643995336,0
MB.0420,M,0.554790104861133,0
MB.0157,UNS,NA,NA
MB.0292,LAR,0.524879542967321,0
MB.0401,M,0.399061125316746,0
MB.0372,IM,0.11820540948961,0.022
MB.0164,BL2,0.279484648270501,0.031
MB.0516,M,0.420686961432329,0
MB.0494,BL2,0.526802953750486,0
MB.0400,M,0.298051848811963,0
MB.0581,BL2,0.509086669257676,0
MB.0664,BL1,0.57128506559399,0
MB.0446,BL2,0.280334240186553,0.001
MB.0115,UNS,NA,NA
MB.0354,IM,0.626565507430442,0
MB.0481,M,0.287027274317065,0.003
MB.0238,IM,0.539000996958279,0
MB.0525,BL2,0.600171006607073,0
MB.0869,BL1,0.517390040273957,0
MB.4622,UNS,NA,NA
MB.4717,M,0.285739547333825,0
MB.4757,BL1,0.193415252596994,0.002
MB.4715,UNS,NA,NA
MB.5281,LAR,0.673480109047768,0
MB.5323,IM,0.676119117788967,0
MB.4911,BL1,0.663297410983055,0
MB.4888,MSL,0.332596771408946,0.007
MB.4945,M,0.437016325706386,0
MB.5072,LAR,0.768144068818025,0
MB.5115,BL1,0.482262047160941,0
MB.4733,IM,0.511703994967917,0
MB.4758,M,0.702826244796905,0
MB.4732,IM,0.215655388672947,0
MB.5236,BL1,0.631060428752026,0
MB.4993,LAR,0.692095940712231,0
MB.5232,MSL,0.336839417012415,0
MB.5126,BL1,0.376131707905698,0
MB.4938,M,0.670770165862683,0
MB.5070,IM,0.166273778903794,0
MB.5138,IM,0.55570375222074,0
MB.5258,BL1,0.52528221329405,0
MB.5421,M,0.370803036748749,0
MB.5348,IM,0.521823217181907,0
MB.5100,IM,0.51831918356033,0
MB.5446,LAR,0.729887226853129,0
MB.5427,M,0.596419779253961,0
MB.5209,IM,0.364153185496294,0
MB.5223,MSL,0.528433309199153,0
MB.5616,IM,0.576822455863342,0
MB.5602,IM,0.395042244296056,0
MB.5634,IM,0.438740180425666,0
MB.5548,IM,0.282003959949996,0
MB.5526,UNS,NA,NA
MB.5531,BL2,0.307406917994559,0
MB.5551,M,0.491258248412702,0
MB.5560,MSL,0.16293338813553,0
MB.5529,BL1,0.316143353582341,0
MB.4408,UNS,NA,NA
MB.4146,IM,0.437550937952674,0
MB.2957,UNS,NA,NA
MB.3063,M,0.352825067257541,0
MB.3046,M,0.534019112215493,0
MB.3014,BL1,0.462182730222798,0
MB.3277,IM,0.360094633127827,0
MB.3271,IM,0.451691945085559,0
MB.3292,IM,0.281725648125393,0
MB.2917,UNS,NA,NA
MB.3706,BL1,0.370395685754616,0
MB.3453,UNS,NA,NA
MB.2842,IM,0.124401285138542,0.03
MB.2912,BL1,0.317455962254402,0.002
MB.2849,LAR,0.582722357690946,0
MB.3058,UNS,NA,NA
MB.3057,BL1,0.403331894495677,0
MB.3395,MSL,0.439286253380708,0
MB.2857,IM,0.570513954272227,0
MB.2827,UNS,NA,NA
MB.3702,MSL,0.557817015282756,0
MB.3502,UNS,NA,NA
MB.0079,LAR,0.430877762727232,0
MB.0062,BL1,0.248182974798205,0
MB.4015,UNS,NA,NA
MB.2929,LAR,0.700188635200294,0
MB.2724,IM,0.619160679768636,0
MB.3062,MSL,0.576006903778675,0
MB.4707,UNS,NA,NA
MB.3383,UNS,NA,NA
MB.7114,BL1,0.493857836900598,0
MB.7208,LAR,0.516420080477203,0
MB.3001,BL1,0.269222938581608,0
MB.7023,BL2,0.443152739992227,0
MB.3500,UNS,NA,NA
MB.3396,BL2,0.473903614457831,0
MB.7145,BL1,0.428101714214447,0
MB.7155,UNS,NA,NA
MB.3218,BL1,0.485935537373471,0
MB.7270,LAR,0.404160921690184,0
MB.7008,LAR,0.699575762158245,0
MB.7009,M,0.397438225533363,0
MB.3153,LAR,0.333322661269711,0
MB.3211,IM,0.186299573524921,0
MB.7081,IM,0.661893149144357,0
MB.7055,M,0.322589313855329,0
MB.7121,IM,0.609807423307064,0
MB.7158,IM,0.366352699072503,0
MB.7258,LAR,0.250795761646919,0
MB.2904,IM,0.401049444155438,0
MB.7154,IM,0.40653030908987,0
MB.7165,BL1,0.292322356864673,0.002
MB.2850,IM,0.605603988051809,0
MB.7052,IM,0.438872707262487,0
MB.7090,BL2,0.449170617955694,0
MB.7025,MSL,0.555696776206399,0
MB.7036,BL1,0.414472061309061,0
MB.4769,BL1,0.211299383783355,0
MB.4793,IM,0.234404081651621,0
MB.4679,IM,0.5412768064094,0
MB.4660,UNS,NA,NA
MB.6248,BL1,0.255746995650283,0.001
MB.6280,BL1,0.337774185632734,0.001
MB.6098,UNS,NA,NA
MB.4974,BL1,0.328937886755108,0
MB.4696,LAR,0.289034691640953,0
MB.4881,M,0.416757287089609,0
MB.4865,UNS,NA,NA
MB.4416,IM,0.273541787914963,0
MB.4407,M,0.367206330451619,0
MB.4621,UNS,NA,NA
MB.4893,IM,0.645902206238329,0
MB.4792,M,0.49613281040564,0
MB.5295,M,0.547533155249295,0
MB.6058,IM,0.452215108988835,0
MB.5335,M,0.553976901187411,0
MB.5135,M,0.492033770826788,0
MB.5057,UNS,NA,NA
MB.5102,M,0.163573045272129,0
MB.6272,UNS,NA,NA
MB.6245,M,0.419736461679612,0.003
MB.6336,UNS,NA,NA
MB.5208,M,0.301731133188722,0
MB.5440,IM,0.614033602441905,0
MB.5346,BL1,0.108670360133237,0.043
MB.6178,UNS,NA,NA
MB.4417,BL2,0.223440342013214,0
MB.4332,BL1,0.335591957518386,0
MB.7205,IM,0.147350078332436,0.001
MB.7159,M,0.391100758786323,0
MB.6143,M,0.728279985789355,0
MB.5225,UNS,NA,NA
MB.4024,M,0.452374094735297,0
MB.6242,BL2,0.297070345899728,0
MB.5173,M,0.507697900522477,0
MB.4931,IM,0.672666531260396,0
MB.7045,LAR,0.78302193248951,0
MB.7049,M,0.370950755303813,0.002
MB.7078,BL2,0.397141857753595,0
MB.7038,M,0.586067604789729,0
MB.0399,LAR,0.696729808371441,0
MB.0191,UNS,NA,NA
MB.0639,M,0.388506564406142,0
MB.6251,M,0.36332235465782,0
MB.5450,IM,0.219267647077316,0.006
MB.0100,UNS,NA,NA
MB.5572,IM,0.741032610404177,0
MB.5655,UNS,NA,NA
MB.5633,IM,0.49241283859199,0
MB.0627,MSL,0.441577696849391,0
MB.5624,UNS,NA,NA
MB.5566,MSL,0.212305325082619,0
MB.0414,IM,0.522155299692985,0
MB.0396,UNS,NA,NA
MB.0874,BL1,0.288946892313125,0
MB.0269,UNS,NA,NA
MB.0901,BL1,0.388994754586396,0
MB.0464,LAR,0.423209350763714,0
MB.0163,M,0.635736465688257,0
MB.0149,M,0.570778183151967,0
MB.0350,M,0.417623154332318,0
MB.0303,IM,0.309610355244637,0
MB.0436,BL2,0.447489312087058,0
MB.0588,LAR,0.779450398178061,0
MB.7119,IM,0.241806203010448,0
MB.7012,BL1,0.20584923950816,0
MB.0174,UNS,NA,NA
MB.5547,M,0.30914426961743,0.001
MB.5465,M,0.63658519597512,0
