Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.AR.A0TU	0.0048988676327754	0	0	0.0807769866841	0	0.15520414594679	0.050602319939223	0.090362996069429	0.01558811671209	0	0.031496842450137	0	0.0086033537445366	0.11688247083043	0.13448631441327	0.16922656112421	0	0.11105605065678	0.030814973796223	0	0	0	0	0.3971545709429827	0.919061201656521
TCGA.AR.A256	0.0007	0.0066447255812287	0	0	0	0.28531041577863	0	0.067561403437691	0.0009	0	0	0.018916144055853	0.0092428514175662	0.40047793162421	0	0.017455626194168	0	0.16733944518173	0	0.025415337872038	0	0	0.03	0.18642650405626515	1.036604822513781
TCGA.AO.A12F	0.0027639375416214	0.014068815321895	0.0004	0.050568498027145	0	0.22784191181535	0	0.067469803947954	0	0	0.026736177245897	0.014163851145872	0.071455003261504	0.14053217979941	0	0.23218463575147	0	0.033338204607566	0.10070590951175	0	0	0.017782158448598	0.5	0.01773134216275083	1.073555998601842
TCGA.C8.A3M7	0.21693590525269	0	0.18294863879469	0.058400275192675	0	0.18482136756498	0	0.0058967724512948	0	0	0	0.039527509021793	0.020878194075005	0.0082873594520124	0.053831811797368	0.11885784233645	0	0	0.10961432406104	0	0	0	0	0.4469914968777156	0.8960663555089783
TCGA.GM.A2DF	0.15706995685754	0	0.032316436725623	0.063379760517153	0	0.10548072147487	0.0019214953538458	0.042239205426894	0.041153370268951	0	0	0	0	0.29145063085158	0.10055434023066	0.16443408229289	0	0	0	0	0	0	0.03	0.20710892286710747	1.013309729579644
TCGA.BH.A42U	0.18467271730129	0	0.048373555859437	0.088084192975801	0	0.24970714728115	0	0.022223466590808	0.04395293252477	0	0.008826020389431	0.016293629275809	0.011720001521942	0.13554247488613	0.036858836722026	0.14547754979695	0	0	0.0003	0.0079944089267616	0	0	0	0.34372839408376843	0.9442147615871892
TCGA.AC.A2BK	0.12683762948636	0	0.015269479154329	0.10150620673141	0	0.066864279788756	0	0.086481542258941	0.02254047104788	0	0	0.016382722902464	0	0	0.079962628404137	0.30832093017136	0	0.15699190766995	0.018842202384407	0	0	0	0.32	0.04422744436377271	1.0733929082798581
TCGA.BH.A0BL	0.20913275095798	0	0.027069433077802	0.0048787176491491	0	0.10602866490494	0	0.084288240520077	0.0029393298694822	0.025637315203746	0	0.032089935576972	0.017141635295743	0.15316883136271	0.13014052645335	0.078310948342731	0.013035538646755	0.020162103921646	0.095976028216918	0	0	0	0	0.3794125549922975	0.926109612536638
TCGA.A7.A26I	0.088654765224116	0	0.018757694726911	0	0	0.16110923488246	0	0.015834707183481	0.0057288811017344	0	0.023484052193213	0	0	0.25512244601823	0.021893207381095	0.34351571453103	0	0.037512569420593	0.018344890623619	0	0	0.01004183671351	0.07	0.134245487103347	1.0484071397506662
TCGA.OL.A5D6	0.0843930114115	0	0.00221142124752	0.0027313191855822	0	0.2657631483139	0	0	0	0	0.027836666770709	0	0.024666515745192	0.03600048585757	0.068105739030135	0.39784620836382	0.024982415573948	0	0.065463068500121	0	0	0	0.07	0.1278313844836028	1.0330716482794513
