Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
TCGA.A2.A0YE	0.04963201639839986	0	0.07264089028924796	0.017321298475938694	0	0.07340575966366773	0	0.049567055251337415	0.0013378113773474753	0	0	0.009731445852790852	0	0.10686462326071076	0.07430228160015126	0.07836011313387009	0.00694148276179337	0	0.01871115902674459	0	0	0	0.005	0.30302336518998385	0.5588159370920001
TCGA.AN.A0AL	0.18226724434682062	0	0.09710300524452363	0.036882500278319096	0	0.27957089830385046	0.03186090774315273	0.09062502669724404	0.0165482969357545	0.0028796990739025905	0.0075236348317055165	0	0	0.257177728576254	0.061552702198021676	0.10188188058124518	0	0.05241027635656547	0.05464959521264028	0	0	0	0.005	0.3048114533352762	1.2729333963799998
TCGA.EW.A6SB	0	0.05059118518877549	0.20629841309392372	0.23805648732788812	0	0.11923040528378766	0.10638473782857599	0.1650036662364457	0.23001182539916534	0	0	0.03624629425010199	0	0.24571603491047803	0.15089894888423058	0.06021036694081869	0.15128648523720942	0	0.005838995373599399	0	0	0	0.007	0.2622577949445731	1.765773845955
TCGA.BH.A1EW	0.07618237998175137	0	0.019334129690741317	0.14269985221322812	0	0.34852371213953526	0.0913359760814349	0	0.003912262873130007	0	0.008217743334941234	0	0.04380269794419677	0.010418307990851866	0.15589584993803512	0.1251180178640077	0.016030105860334428	0	0.1342120138580585	0	0	0.008694062504753445	0.007	0.2801974524936476	1.184377112275
TCGA.AR.A1AR	0.03212290827236471	0	0	0.028723908612060815	0	0.27335865289275507	0.059535137329718796	0.031696729045389935	0.021466046263941392	0.07669083452432549	0.01909265516897424	0	0	0.5991162106585247	0.14993100512534271	0.28173387482660195	0	0	0	0	0	0	0	0.6337828239701482	1.57346796272
TCGA.D8.A13Z	0.09694805022008562	0	0.008828112457952085	0.04548019491799196	0	0.1286745270232481	0.0391261035463703	0.05195601687184276	0.04255443714424365	0	0.008262440063013101	0	0	0.3792151811574534	0.07295960999218185	0.2545494531994422	0	0.055876486785019934	0.03568117797667517	0	0	0.004250305354479906	0.001	0.41010919587678557	1.22436209671
TCGA.D8.A1XQ	0.015418734503072835	0	0.08361771283620587	0.08482017570566218	0	0.14174978791571813	0.04162444708150228	0.04111782074056025	0.021633225785484905	0.008212653188112116	0	0	0	0.3466527566934859	0.12954971666587922	0.24272606465916402	0	0	0.007498281319929317	0	0	0.009333528710222966	0.047	0.15026279361877193	1.173954905805
TCGA.BH.A0BG	0.08455275992889455	0	0.0054449434411333215	0.22205136860925093	0	0.10060339494188965	0.021055504222612417	0.10111080564971646	0.08515349451500698	0.031619209975240294	0	0.04625704041239326	0	0.12206523637881028	0.32439280786381886	0.09461068928156943	0	0.03297804653143641	0.04620661344822737	0	0	0	0.001	0.4127214743472128	1.3181019152000002
TCGA.S3.AA15	0.2652470279629316	0.039943924695665434	0.9892194221067697	0.28658782789836096	0	0.18811805270647847	0.018255200659596914	0.024407420823946105	0.13823575164508287	0	0	0.05367111163504099	0.017185795533923805	0.24901233546243814	0.06832988449104246	0.19382408550564206	0.014272100750093478	0	0.13911773682544046	0	0	0.007302346097546522	0	0.4920252971126364	2.6927300248
TCGA.OL.A66P	0	0.10629718335662657	0.10550000255400604	0.5061876983446345	0	0.06509632691986371	0.06466530355337054	0.1410405525265268	0.1289992143683367	0.019716109639376946	0	0.06785154253688094	0	0.18621208525081834	0.10469425786129792	0.19210809569960274	0.044155449755161974	0	0.13206991767349613	0	0	0	0.026	0.1863130337573996	1.86459374004
