Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.A2.A0YE	0.088816393921544	0	0.12999072765759	0.03099642892448	0	0.13135945987092	0	0.088700146079007	0.0023940107798451	0	0	0.017414402859432	0	0.19123402925267	0.13296378408034	0.14022526548123	0.012421769496976	0	0.033483581595963	0	0	0	0.005	0.30302336518998385	0.9646291064090499
TCGA.AN.A0AL	0.14318678798526	0	0.076282864068668	0.028974414830506	0	0.21962727908538	0.025029516731794	0.071193847969553	0.013000127880072	0.002262254319112	0.0059104701417226	0	0	0.20203549479307	0.048355006140201	0.080037086677889	0	0.041172834734018	0.042932014642757	0	0	0	0.005	0.3048114533352762	0.9598391100859004
TCGA.EW.A6SB	0	0.028650999279816	0.11683172993331	0.13481708763171	0	0.067523032780737	0.06024822378714	0.093445526228873	0.13026120299951	0	0	0.020527144137475	0	0.1391548727904	0.085457687138082	0.034098572180547	0.085677158252045	0	0.0033067628603602	0	0	0	0.007	0.2622577949445731	0.979963299062181
TCGA.BH.A1EW	0.064322739093984	0	0.016324302023706	0.12048514846688	0	0.29426751710026	0.077117309288418	0	0.0033032239753563	0	0.006938451655112	0	0.036983742331916	0.0087964448847208	0.13162686809996	0.10564035438314	0.013534629886205	0	0.11331864865259	0	0	0.0073406201577583	0.007	0.2801974524936476	0.9706923775950719
TCGA.AR.A1AR	0.02041535578318	0	0	0.018255159490128	0	0.17373004050251	0.03783689197383	0.020144502332667	0.013642506090072	0.048740003826803	0.012134123872449	0	0	0.38076162009861	0.095286976714901	0.17905281931485	0	0	0	0	0	0	0	0.6337828239701482	0.7823458961419472
TCGA.D8.A13Z	0.079182498772705	0	0.007210377127546	0.037146033056889	0	0.10509515719983	0.031956317213271	0.042435172577993	0.034756415000589	0	0.0067483631559775	0	0	0.30972469841761	0.059589895986026	0.20790373524584	0	0.04563722360825	0.029142667902375	0	0	0.0034714447351	0.001	0.41010919587678557	0.9131865489579071
TCGA.D8.A1XQ	0.013134009174313	0	0.071227363523702	0.072251647219362	0	0.12074551349016	0.035456597928657	0.035025042731403	0.018427646307803	0.0069957143562346	0	0	0	0.29528626268296	0.11035323079726	0.2067592745334	0	0	0.0063871970574437	0	0	0.0079505001972992	0.047	0.15026279361877193	1.040048579273111
TCGA.BH.A0BG	0.064147361409505	0	0.0041308971471353	0.16846297395415	0	0.076324443339136	0.015974109421894	0.076709398934736	0.064603118721731	0.023988440962429	0	0.035093675139205	0	0.092606827265166	0.24610601359653	0.071777977249365	0	0.025019344977154	0.035055417881869	0	0	0	0.001	0.4127214743472128	0.9189651050398313
TCGA.S3.AA15	0.098504872571706	0.014833987933355	0.367366729303	0.10643021218573	0	0.069861460664053	0.0067794396361562	0.0090641915822062	0.051336654760014	0	0	0.019931857683738	0.0063822943167874	0.092475789688917	0.025375690790285	0.071980511867334	0.0053002345644189	0	0.051664197875082	0	0	0.0027118745772105	0	0.4920252971126364	0.8833012118950666
TCGA.OL.A66P	0	0.057008227086693	0.056580691165327	0.27147345154863	0	0.034911801708863	0.034680639629297	0.07564143839907	0.06918355006682	0.010573943919255	0	0.03638945099935	0	0.09986737660442	0.056148562345303	0.10302946511849	0.023681002894612	0	0.070830398513868	0	0	0	0.026	0.1863130337573996	1.0123751582652902
TCGA.EW.A1P8	0.01674067859845	0.0007	0	0.081594199146478	0	0.11747333050176	0.012786119094112	0.045564690485372	0.038547383034934	0	0.0016522074931193	0	0	0.14330864562683	0.052717940733071	0.27201005713147	0.09121885948807	0	0	0.1194582745778	0.0016067133018066	0.0046661937701807	0.011	0.24319772424669928	0.9890595900111985
TCGA.A8.A07C	0.051926682660403	0	0.02589890576522	0.089913819628098	0	0.17320734111372	0.096180492834678	0.040995044230313	0.017263348379969	0.032050467275132	0.026238697728248	0	0	0.12479115022457	0.070789694610835	0.22443318624605	0	0.010748508351924	0.01556266095085	0	0	0	0.033	0.1667145731797973	1.0157217443546123
TCGA.E2.A14N	0.048733310240706	0	0.0025937092660875	0.070061995206728	0	0.35466819411239	0.073609388888862	0.041185313637299	0	0	0.0098339258910286	0	0.0001	0.065565570005833	0.20149845540864	0.072691161043288	0.010650360791973	0.039157395595225	0.0096150952349607	0	0	0	0.001	0.3931756883580642	0.9265192353958938
TCGA.A2.A0T0	0.05149776675946	0	0.0074901792238009	0.045231402882695	0	0.15453664794268	0.0031583929692656	0.065757674118738	0.065215863108051	0	0.020849642268782	0	0	0.3162315389985	0.11294791735996	0.14050776443225	0	0	0	0.013242595603205	0	0.0033326143326115	0.005	0.3050646596116594	0.9674863925215141
TCGA.A7.A6VW	0.12144525432526	0	0.076478928724433	0.012145135991456	0	0.060454380724461	0	0.087807256916051	0.026204548639162	0	0	0.023872147511885	0.040771236472985	0.26095415919746	0.072621466489602	0.10418731102575	0	0.08563635042005	0	0	0	0.027421823561444	0.002	0.3636145482897671	0.9350167013536588
TCGA.A2.A0T2	0.044376857831985	0	0.0031750965741245	0.23063402396162	0	0.044944690687893	0.027603431723343	0.089675585849483	0.024050877029496	0.012391054324414	0	0.0090440697354398	0	0.17807833932146	0.11032526696943	0.16898353443164	0.0046997697405955	0	0.026042955900127	0	0	0.025974445918948	0.028	0.1780927532818194	1.019428550658207
TCGA.BH.A0AV	0.088174486760932	0	0.034550921660839	0.013837066149445	0	0.0731936203725	0.012120864819096	0.0041807475360306	0.017043527112342	0	0.008741623916551	0	0	0.57527360675112	0.023182776518155	0.11775651688781	0	0	0.031944241515185	0	0	0	0	0.4952588157789368	0.8757378960630315
TCGA.D8.A1JG	0.042594854711639	0	0.093836169955614	0.06438980592998	0	0.19000428241047	0.054916682908523	0.052447106096003	0.0154226947558	0	0	0.020603794723685	0	0.12259042758842	0.096121639785007	0.18107739875656	0.0090756375654045	0	0.056919504812897	0	0	0	0.011	0.24206422538947958	0.9837327311536633
TCGA.OL.A5D6	0.03918300269079	0	0.007697305927032	0.057468756827908	0	0.22108840139933	0	0.036796818827252	0.0060347660584619	0	0	0.0057918570036137	0.02049176944692	0.034242141157593	0.11888106712466	0.29242545437022	0.042602796059231	0	0.11729586310698	0	0	0	0.079	0.11712204919990273	1.035349753127501
TCGA.BH.A0BW	0.061953619340815	0	0.0016065509937803	0.0511508234759	0	0.19210126156228	0.043569669142894	0.055358378876165	0.016054344820111	0	0.021997612488299	0.016433314284638	0	0.12638679113866	0.2200602944072	0.14846532365565	0	0.013491602810309	0.020793097365675	0	0.0074807176695999	0.0030965979680294	0.005	0.29744422965225936	0.9740696533252764
TCGA.BH.A0RX	0.039470294572467	0	0.0040365554930852	0.19204199319635	0	0.073684180882086	0.057908788400894	0.054669510302128	0.062458426829135	0.014185965714039	0	0.016552291337908	0.012328008793275	0.16052510882474	0.15845192370005	0.08460275489647	0.032236266970467	0	0.036847930086909	0	0	0	0.107	0.09847496625979126	1.0568797059849766
TCGA.AO.A0J6	0	0	0.0053595165284116	0.22626574329613	0	0	0.018670513052499	0.073750151559045	0.049633176459249	0.085122470745739	0.03358001928016	0.014899751069755	0	0.10202279878276	0.13474339073849	0.075578632451922	0	0.15812088675387	0.022252949281979	0	0	0	0.001	0.41190547182269954	0.9163635977703495
TCGA.AO.A128	0.01113834218489	0	0	0.28483246099955	0	0	0.12693350470955	0.049573237434011	0.03439500688289	0	0	0.030574613301543	0	0.056413131991833	0.19040032599672	0.16293258048264	0	0	0.048744669225188	0	0	0.0040621267911791	0	0.511484788337933	0.8587982984351897
TCGA.AR.A0U4	0	0.0013720216216371	0.0004	0.022949299915285	0	0.084033522627255	0.006116907628425	0.0073488109849433	0.0045596331625038	0	0.013032320850317	0	0.020994844684306	0.53201277488225	0.18644183299886	0.081261584018543	0.019811334364941	0	0	0.017734570736459	0	0.0019350936123053	0	0.5919653885316376	0.8066125608572589
TCGA.E2.A1LI	0.063814519058832	0	0	0.034034117749577	0	0.14489288834206	0.013225394906995	0.093822394679567	0.034115459698269	0.0012195945729322	0	0	0.024840759373904	0.33166128070793	0.17453687088761	0.078674551228058	0	0	0	0.0051621687942707	0	0	0.032	0.16820409299735578	1.0417713253860603
TCGA.AR.A0TU	0	0	0.0024882562683924	0.16343545551718	0	0.011231519124993	0.15597492831988	0.066195637299704	0.019465817498204	0.0064081626314641	0	0.014025343708985	0.0010247700638616	0.16057928264118	0.08010581388825	0.12605028932407	0.035417451293481	0.13266939587579	0.024927876544565	0	0	0	0.002	0.34011802303038235	0.9444654551930696
TCGA.AR.A1AQ	0.028478981341746	0	0.059920266577851	0.14942463991568	0	0.033323149071207	0.099913784926292	0.08404186981139	0.026630805870135	0.0060218321551853	0.0031193509702746	0	0	0.20305833060122	0.11090873617911	0.12824790339025	0.03147947924937	0	0.035430869940286	0	0	0	0.038	0.16020871432760858	1.0199984853208395
TCGA.A1.A0SP	0.053093525393407	0	0.047089452102625	0.039964082844405	0	0.1486478415615	0.003483399332034	0.048823591366178	0.035810754531224	0	0	0.027232323519739	0.011630303142239	0.29285999893631	0.064079122043123	0.087181307042296	0.092510214651239	0.0041604245451735	0.033108176225103	0	0.009828563829513	0.0005	0.017	0.2108353274844088	1.0022305517374681
TCGA.A2.A3XS	0.12173214602224	0	0	0.10375913724869	0	0.18831580064015	0	0.082872774441181	0.12654160755811	0	0	0.037761464783865	0.0077477583839173	0.096955384398925	0.08532175658111	0.097644183567591	0.0050210200552409	0	0.046326966318976	0	0	0	0.011	0.2434677687612327	0.990684192041943
TCGA.AN.A0AT	0.075761426050965	0	0.0003	0.10887780149416	0	0.17751653428525	0.025670508821152	0.065239814990577	0.037054051656403	0	0.0001	0	0	0.28970915533843	0.1223298473104	0.093190261418933	0	0	0	0.004209596335737	0	0	0.019	0.2095005964753489	1.0127784039279204
TCGA.GM.A3XL	0.0069011476418409	0	0.079248133098497	0.17755566100119	0	0	0.13343014744598	0.09171939007235	0.023969206810756	0	0.068624370663017	0	0	0.12147123903554	0.11062071984465	0.092802020715212	0.036348477563397	0.027604280522509	0.029705205585053	0	0	0	0.017	0.2152700632149638	0.9971443972764996
