barcode	clusterGrp
TCGA.A7.A26I	bothNeg
TCGA.OL.A5RW	bothNeg
TCGA.A2.A3XT	bothNeg
TCGA.E2.A1LL	bothNeg
TCGA.LL.A740	bothNeg
TCGA.E2.A150	bothNeg
TCGA.BH.A18V	bothNeg
TCGA.D8.A27F	bothNeg
TCGA.BH.A0AV	bothNeg
TCGA.A7.A6VW	bothNeg
TCGA.D8.A27H	bothNeg
TCGA.B6.A402	bothNeg
TCGA.EW.A1OW	bothNeg
TCGA.A7.A4SE	bothNeg
TCGA.AR.A1AY	bothNeg
TCGA.OL.A6VO	bothNeg
TCGA.A1.A0SO	bothNeg
TCGA.A7.A6VV	bothNeg
TCGA.C8.A26Y	bothNeg
TCGA.A2.A0YE	bothNeg
TCGA.AR.A256	bothNeg
TCGA.AN.A0G0	bothNeg
TCGA.A2.A3XX	cd4upcd8down
TCGA.A2.A3XU	bothNeg
TCGA.E2.A1LK	bothNeg
TCGA.AN.A04D	bothNeg
TCGA.AO.A12F	bothNeg
TCGA.GI.A2C9	bothNeg
TCGA.BH.A0E0	bothNeg
TCGA.AN.A0AR	bothNeg
TCGA.E2.A1LS	bothNeg
TCGA.AR.A1AR	cd4upcd8down
TCGA.A2.A0T0	bothNeg
TCGA.A7.A0DA	bothNeg
TCGA.AR.A0U4	bothNeg
TCGA.B6.A400	bothNeg
TCGA.A2.A3XY	bothNeg
TCGA.E2.A574	bothNeg
TCGA.A2.A0YM	bothNeg
TCGA.E2.A1LI	bothNeg
TCGA.AN.A0AL	bothNeg
TCGA.E2.A158	bothNeg
TCGA.OL.A5D6	bothNeg
TCGA.A8.A07O	bothNeg
TCGA.A1.A0SP	bothNeg
TCGA.D8.A147	bothNeg
TCGA.D8.A13Z	bothNeg
TCGA.A7.A0CE	bothNeg
TCGA.D8.A1XK	cd4upcd8down
TCGA.BH.A0BL	cd4upcd8down
TCGA.AQ.A54N	bothNeg
TCGA.B6.A409	bothNeg
TCGA.E2.A14N	cd4upcd8down
TCGA.BH.A18G	bothNeg
TCGA.A7.A6VY	cd4upcd8down
TCGA.GM.A2DF	bothNeg
TCGA.C8.A131	bothNeg
TCGA.EW.A1P8	bothNeg
TCGA.D8.A1JF	bothNeg
TCGA.A2.A04P	bothNeg
TCGA.C8.A1HJ	cd4upcd8down
TCGA.D8.A142	bothNeg
TCGA.A8.A08R	cd4upcd8down
TCGA.AO.A0J4	bothNeg
TCGA.BH.A0BW	cd4upcd8down
TCGA.D8.A1XQ	cd4upcd8down
TCGA.AC.A2BK	bothNeg
TCGA.AO.A0J2	cd4upcd8down
TCGA.A8.A07C	cd4upcd8down
TCGA.GM.A2DB	bothNeg
TCGA.D8.A1JG	cd4upcd8down
TCGA.AN.A0AT	cd8upcd4down
TCGA.AN.A0XU	cd4upcd8down
TCGA.E2.A14R	cd8upcd4down
TCGA.D8.A143	cd4upcd8down
TCGA.A2.A0D0	cd8upcd4down
TCGA.BH.A0B3	cd4upcd8down
TCGA.C8.A27B	cd4upcd8down
TCGA.A2.A3XS	cd8upcd4down
TCGA.AO.A1KR	cd8upcd4down
TCGA.E2.A1AZ	bothPos
TCGA.A2.A0T2	cd8upcd4down
TCGA.D8.A1JL	cd4upcd8down
TCGA.BH.A1EW	cd4upcd8down
TCGA.EW.A1PH	cd4upcd8down
TCGA.A7.A4SD	cd8upcd4down
TCGA.BH.A1F6	cd4upcd8down
TCGA.EW.A1P1	cd8upcd4down
TCGA.AC.A6IW	cd4upcd8down
TCGA.BH.A0E6	cd8upcd4down
TCGA.A2.A0D2	cd4upcd8down
TCGA.AR.A0TU	bothPos
TCGA.D8.A27M	bothPos
TCGA.GM.A3XL	bothPos
TCGA.E2.A14X	cd8upcd4down
TCGA.C8.A26X	bothPos
TCGA.OL.A5D7	bothPos
TCGA.E2.A573	cd8upcd4down
TCGA.A2.A04T	bothPos
TCGA.AO.A129	cd8upcd4down
TCGA.GM.A2DD	bothPos
TCGA.AQ.A04J	bothPos
TCGA.A2.A0CM	bothPos
TCGA.A2.A1G6	cd8upcd4down
TCGA.AO.A0J6	cd8upcd4down
TCGA.EW.A1PB	bothPos
TCGA.A2.A0SX	bothPos
TCGA.BH.A0BG	cd8upcd4down
TCGA.EW.A6SB	bothPos
TCGA.LL.A441	bothPos
TCGA.AR.A0TS	bothPos
TCGA.GM.A2DH	bothPos
TCGA.E2.A1L7	bothPos
TCGA.AR.A1AQ	bothPos
TCGA.S3.AA10	bothPos
TCGA.S3.AA15	cd8upcd4down
TCGA.E2.A159	bothPos
TCGA.E2.A1LH	cd8upcd4down
TCGA.BH.A0B9	bothPos
TCGA.A2.A04Q	bothPos
TCGA.EW.A1P7	cd8upcd4down
TCGA.BH.A0RX	bothPos
TCGA.LL.A5YO	bothPos
TCGA.EW.A3U0	bothPos
TCGA.E2.A1B6	bothPos
TCGA.A2.A0ST	bothPos
TCGA.OL.A66P	bothPos
TCGA.EW.A1OV	bothPos
TCGA.OL.A66I	bothPos
TCGA.C8.A12V	bothPos
TCGA.GM.A2DI	bothPos
TCGA.AO.A128	bothPos
