Hugo_Symbol	num	cases	freq	highNum	highCases	highFreq	lowNum	lowCases	lowFreq	pval
PIKFYVE	7	127	5.51181102362205	4	33	12.1212121212121	0	55	0	0.0175479975470541
LAMB2	5	127	3.93700787401575	4	33	12.1212121212121	0	55	0	0.0175479975470541
PKD1	5	127	3.93700787401575	3	33	9.09090909090909	0	55	0	0.0497193263833199
CREBBP	5	127	3.93700787401575	3	33	9.09090909090909	0	55	0	0.0497193263833199
RGPD4	4	127	3.1496062992126	3	33	9.09090909090909	0	55	0	0.0497193263833199
IGHV2-70	4	127	3.1496062992126	3	33	9.09090909090909	0	55	0	0.0497193263833199
GGA1	4	127	3.1496062992126	3	33	9.09090909090909	0	55	0	0.0497193263833199
ATP9A	4	127	3.1496062992126	3	33	9.09090909090909	0	55	0	0.0497193263833199
ATG2B	4	127	3.1496062992126	3	33	9.09090909090909	0	55	0	0.0497193263833199
ZNF697	3	127	2.36220472440945	3	33	9.09090909090909	0	55	0	0.0497193263833199
SYBU	3	127	2.36220472440945	3	33	9.09090909090909	0	55	0	0.0497193263833199
RALGAPA2	3	127	2.36220472440945	3	33	9.09090909090909	0	55	0	0.0497193263833199
PPP1R3F	3	127	2.36220472440945	3	33	9.09090909090909	0	55	0	0.0497193263833199
HIST1H2BC	3	127	2.36220472440945	3	33	9.09090909090909	0	55	0	0.0497193263833199
