,IM,BL1,MSL,M,BL2,LAR
TCGA.A2.A0YE,1,1,0.005,0,0.326,0.397
TCGA.AN.A0AL,1,1,0,0,0.116,0.945
TCGA.EW.A6SB,0,0,1,1,1,0.447
TCGA.AR.A1AR,0.001,1,0,1,0,0.531
TCGA.D8.A13Z,1,1,0,0.38,0,0
TCGA.D8.A1XQ,0.009,0.1,1,0.919,0.923,0.995
TCGA.BH.A0BG,0,0,1,1,1,1
TCGA.S3.AA15,0,1,0,1,0.006,0.753
TCGA.OL.A66P,0,1,0.049,1,0.096,0
TCGA.EW.A1P8,0.164,0.998,0.363,0.318,0.002,0.006
TCGA.A8.A07C,0.95,0.035,0.373,0.014,1,0.18
TCGA.E2.A14N,0.909,0,1,0.283,0.998,0.623
TCGA.A2.A0T0,1,0.289,0.006,0,0.009,0.164
TCGA.A7.A6VW,0.991,0.998,0.962,0.949,0,0.041
TCGA.A2.A0T2,1,0.988,0.003,0,0.001,0.034
TCGA.BH.A0AV,1,0.96,0,0,0.002,1
TCGA.D8.A1JG,0,1,0.898,1,0.007,0
TCGA.OL.A5D6,1,1,0.001,0,0.006,0
TCGA.BH.A0BW,0,0.003,1,1,0.981,1
TCGA.AO.A0J6,0,0.071,1,1,0.111,0.852
TCGA.AO.A128,0,0.723,1,1,0.629,0.816
TCGA.AR.A0U4,0,0.003,0.995,1,0.888,0.978
TCGA.E2.A1LI,0.547,0,1,0.491,1,0.996
TCGA.AR.A0TU,0,0,1,1,1,0.223
TCGA.AR.A1AQ,0,0.254,0.998,1,0.058,0.949
TCGA.A1.A0SP,1,0.927,0,0.001,0.447,0.018
TCGA.A2.A3XS,1,0,0,0,1,0.838
TCGA.AN.A0AT,1,0.024,0.976,0,0.994,0.002
TCGA.GM.A3XL,0,0.142,1,1,0.049,0
TCGA.AN.A0XU,0.994,0.982,1,0.034,0.002,0.447
TCGA.A2.A3XU,1,0.346,0.982,0,0.596,0
TCGA.AR.A256,1,0.154,0.974,0,0.8,0.97
TCGA.EW.A1P1,1,1,0,0.003,0,0
TCGA.C8.A131,1,1,0,0,0,0
TCGA.E2.A573,0,0,1,1,0.962,0.998
TCGA.BH.A18V,0.838,0,0.95,0.776,0.007,1
TCGA.B6.A400,1,0.293,0.49,0,0.163,1
TCGA.C8.A12V,0,0.751,1,1,0.996,0.998
TCGA.BH.A1F6,0,0,0.258,0.96,0.926,0.999
TCGA.A8.A08R,0.003,0,0.997,0.925,0.999,1
TCGA.GM.A2DH,0,1,0.257,1,0.152,0
TCGA.E2.A1AZ,0.004,1,0,1,0,0.495
TCGA.D8.A142,1,1,0,0,0.089,0.737
TCGA.E2.A574,1,0.491,0.843,0,0.764,0
TCGA.A7.A6VV,1,0.999,0,0,0.017,1
TCGA.E2.A1B6,0,0.019,0.888,1,1,0.878
TCGA.LL.A441,0,1,0,1,0.997,0.823
TCGA.BH.A0BL,0.952,1,0,0.335,0,1
TCGA.E2.A1LK,1,0,1,0,0.612,0.961
TCGA.E2.A159,0,1,0.986,1,0,0
TCGA.A2.A04T,0.075,0,1,0.126,1,0.47
TCGA.A2.A3XY,0.945,0.542,0,0.202,0.09,1
TCGA.E2.A150,0.885,0.843,0.48,0.2,0.002,0.991
TCGA.GM.A2DD,0,1,0.012,1,0.001,0
TCGA.D8.A27M,0,0.234,0.378,1,0.031,1
TCGA.AO.A0J4,0.251,0,1,0,1,1
TCGA.A2.A04Q,0,0.994,0.981,1,0.15,0.998
