,subtype,correlation,p.value
TCGA.A2.A0YE,M,0.465195876897171,0
TCGA.AN.A0AL,MSL,0.420492142542571,0
TCGA.EW.A6SB,IM,0.64502373737849,0
TCGA.AR.A1AR,UNS,NA,NA
TCGA.D8.A13Z,BL2,0.515170638721519,0
TCGA.D8.A1XQ,UNS,NA,NA
TCGA.BH.A0BG,UNS,NA,NA
TCGA.S3.AA15,MSL,0.680015204873794,0
TCGA.OL.A66P,LAR,0.625593706063977,0
TCGA.EW.A1P8,BL2,0.182022893379699,0.002
TCGA.A8.A07C,UNS,NA,NA
TCGA.E2.A14N,BL1,0.310573779593301,0
TCGA.A2.A0T0,M,0.455596222196991,0
TCGA.A7.A6VW,BL2,0.463875808605306,0
TCGA.A2.A0T2,UNS,NA,NA
TCGA.BH.A0AV,M,0.600988719959961,0
TCGA.D8.A1JG,LAR,0.639068560002282,0
TCGA.OL.A5D6,LAR,0.82180500671287,0
TCGA.BH.A0BW,IM,0.519571880263864,0
TCGA.AO.A0J6,IM,0.346412385782981,0
TCGA.AO.A128,IM,0.801836764941139,0
TCGA.AR.A0U4,IM,0.38962391899649,0
TCGA.E2.A1LI,BL1,0.728383837952454,0
TCGA.AR.A0TU,BL1,0.420322032342032,0
TCGA.AR.A1AQ,IM,0.63968235670528,0
TCGA.A1.A0SP,M,0.116383377896303,0.001
TCGA.A2.A3XS,M,0.419911387802768,0
TCGA.AN.A0AT,M,0.298572973894694,0
TCGA.GM.A3XL,IM,0.515213071790866,0
TCGA.AN.A0XU,UNS,NA,NA
TCGA.A2.A3XU,M,0.260404513983536,0
TCGA.AR.A256,M,0.289209995495198,0
TCGA.EW.A1P1,MSL,0.80966215747151,0
TCGA.C8.A131,BL2,0.540375414624019,0
TCGA.E2.A573,IM,0.511499265999793,0
TCGA.BH.A18V,BL1,0.256513088636301,0
TCGA.B6.A400,M,0.538205678837556,0
TCGA.C8.A12V,IM,0.817591303038573,0
TCGA.BH.A1F6,BL1,0.432036970406165,0
TCGA.A8.A08R,BL1,0.544489645681145,0
TCGA.GM.A2DH,IM,0.40328867381219,0
TCGA.E2.A1AZ,UNS,NA,NA
TCGA.D8.A142,M,0.505096615496108,0
TCGA.E2.A574,M,0.294853458675309,0
TCGA.A7.A6VV,M,0.536008983369944,0
TCGA.E2.A1B6,IM,0.681875770464961,0
TCGA.LL.A441,MSL,0.490534018906778,0
TCGA.BH.A0BL,MSL,0.627892928167866,0
TCGA.E2.A1LK,BL1,0.447185686953217,0
TCGA.E2.A159,BL2,0.595332855208338,0
TCGA.A2.A04T,BL1,0.594127623546092,0
TCGA.A2.A3XY,MSL,0.496166851973557,0
TCGA.E2.A150,BL2,0.288225621523174,0.002
