,IM,BL1,MSL,M,BL2,LAR
TCGA.A2.A0YE,1,0.999,0.923,0,0.068,0.993
TCGA.AN.A0AL,0.988,1,0,0.489,0.129,0.079
TCGA.EW.A6SB,0,0.958,0,1,0.999,0
TCGA.AR.A1AR,0.006,1,0,1,0,0.428
TCGA.D8.A13Z,1,1,0.599,0,0,0
TCGA.D8.A1XQ,0.933,0.007,1,0,0.902,1
TCGA.BH.A0BG,0,0,1,1,1,1
TCGA.S3.AA15,0,1,0,1,0.279,0
TCGA.OL.A66P,0,1,0,1,0.671,0
TCGA.EW.A1P8,0.494,0.986,0.83,0.014,0,0.41
TCGA.A8.A07C,1,0.018,0.908,0,1,0.853
TCGA.E2.A14N,0,0.352,0.001,1,0.985,0
TCGA.A2.A0T0,1,0.333,0,0,0.006,0.019
TCGA.A7.A6VW,1,0.978,1,0.219,0,0.448
TCGA.A2.A0T2,0.152,1,0,0.994,0.328,0
TCGA.BH.A0AV,1,0.897,0.019,0,0.001,1
TCGA.D8.A1JG,0,1,0.606,1,0.004,0
TCGA.OL.A5D6,1,1,0,0.656,0.005,0
TCGA.BH.A0BW,0,0,1,1,0.846,1
TCGA.AO.A0J6,0,0.36,0.558,1,0.141,0.027
TCGA.AO.A128,0,0.166,1,1,0.285,1
TCGA.AR.A0U4,0.047,0.013,1,0.846,0.857,1
TCGA.E2.A1LI,0.003,0,0.235,1,1,0.312
TCGA.AR.A0TU,0.024,0,1,0.733,1,0.994
TCGA.AR.A1AQ,0,0.313,0.714,1,0.081,0.824
TCGA.A1.A0SP,1,0.917,0.002,0,0.301,0.442
TCGA.A2.A3XS,0.699,0.001,0,0.175,1,0.002
TCGA.AN.A0AT,1,0.064,0.027,0,0.993,0.001
TCGA.GM.A3XL,0,0.141,1,1,0.019,0.174
TCGA.AN.A0XU,1,0.952,1,0,0.001,0.99
TCGA.A2.A3XU,1,0.201,0.999,0,0.45,0.033
TCGA.AR.A256,1,0.053,1,0,0.523,1
TCGA.EW.A1P1,1,1,0,0.28,0,0
TCGA.C8.A131,0.995,1,0,0.919,0,0
TCGA.E2.A573,0,0,1,1,0.949,1
TCGA.BH.A18V,1,0,1,0,0.014,1
TCGA.B6.A400,1,0.294,0.999,0,0.256,1
TCGA.C8.A12V,0,0.686,0.999,1,0.997,1
TCGA.BH.A1F6,0.009,0,0.234,0.937,0.934,1
TCGA.A8.A08R,0.483,0,1,0.095,1,1
TCGA.GM.A2DH,0,1,1,1,0.007,0
TCGA.E2.A1AZ,0.011,1,0,1,0,0.203
TCGA.D8.A142,1,1,0,0,0.073,0.877
TCGA.E2.A574,1,0.233,0.968,0,0.505,0.018
TCGA.A7.A6VV,1,0.979,0.505,0,0.002,1
TCGA.E2.A1B6,0,0.266,0.038,1,1,0.074
TCGA.LL.A441,0,1,0,1,1,0.577
TCGA.BH.A0BL,1,1,0,0.008,0,1
