,subtype,correlation,p.value
TCGA.A2.A0YE,M,0.413423099642245,0
TCGA.AN.A0AL,MSL,0.497399550434051,0
TCGA.EW.A6SB,IM,0.326885176611871,0
TCGA.AR.A1AR,UNS,NA,NA
TCGA.D8.A13Z,BL2,0.522352575279509,0
TCGA.D8.A1XQ,BL1,0.304043641955669,0.007
TCGA.BH.A0BG,UNS,NA,NA
TCGA.S3.AA15,MSL,0.592156179180898,0
TCGA.OL.A66P,LAR,0.5657351158695,0
TCGA.EW.A1P8,BL2,0.233381067104395,0
TCGA.A8.A07C,BL1,0.244097332696999,0.018
TCGA.E2.A14N,UNS,NA,NA
TCGA.A2.A0T0,M,0.3647362418781,0
TCGA.A7.A6VW,BL2,0.465156871578562,0
TCGA.A2.A0T2,UNS,NA,NA
TCGA.BH.A0AV,M,0.536845856762745,0
TCGA.D8.A1JG,LAR,0.67885993072532,0
TCGA.OL.A5D6,LAR,0.790163362579756,0
TCGA.BH.A0BW,UNS,NA,NA
TCGA.AO.A0J6,IM,0.322393993494693,0
TCGA.AO.A128,IM,0.722240703964811,0
TCGA.AR.A0U4,IM,0.288707820154131,0.047
TCGA.E2.A1LI,BL1,0.356996765298547,0
TCGA.AR.A0TU,BL1,0.507780782691696,0
TCGA.AR.A1AQ,IM,0.621173614542609,0
TCGA.A1.A0SP,M,0.139422323933612,0
TCGA.A2.A3XS,MSL,0.286622053099408,0
TCGA.AN.A0AT,M,0.25188066477688,0
TCGA.GM.A3XL,IM,0.340421910698569,0
TCGA.AN.A0XU,UNS,NA,NA
TCGA.A2.A3XU,M,0.256435193005342,0
TCGA.AR.A256,M,0.321501343578953,0
TCGA.EW.A1P1,MSL,0.788211575442071,0
TCGA.C8.A131,LAR,0.509236124154753,0
TCGA.E2.A573,IM,0.440862102940578,0
TCGA.BH.A18V,BL1,0.386917753738466,0
TCGA.B6.A400,M,0.488311698185205,0
TCGA.C8.A12V,IM,0.793120854191306,0
TCGA.BH.A1F6,BL1,0.439543694983561,0
TCGA.A8.A08R,BL1,0.60268559762435,0
TCGA.GM.A2DH,UNS,NA,NA
TCGA.E2.A1AZ,MSL,0.364800726221373,0
TCGA.D8.A142,M,0.49276929316412,0
TCGA.E2.A574,M,0.295625584829595,0
TCGA.A7.A6VV,M,0.456385962075847,0
TCGA.E2.A1B6,IM,0.598554460049283,0
